key,locale,package,origin_text,text
activity::activitypoint.setting_post_on_other_action,es,metafox/activity,"Post a new status on someone's profile.",
activity::activitypoint.setting_post_on_other_description,es,metafox/activity,"Post a new status on someone's profile.",
activity::activitypoint.setting_post_on_wall_action,es,metafox/activity,"Post a new status on your profile",
activity::activitypoint.setting_post_on_wall_description,es,metafox/activity,"Post a new status on your profile",
activity::admin.add_comment_as_feed_description,es,metafox/activity,"If this setting is enabled it will add comments that are added to items such as videos, blogs, photos etc... as its own feed entry.",
activity::admin.add_comment_as_feed_label,es,metafox/activity,"Add Comments as Feeds",
activity::admin.allow_choosing_sort_on_feed_description,es,metafox/activity,,
activity::admin.allow_choosing_sort_on_feed_label,es,metafox/activity,"Allow Choosing Sort On Feed",
activity::admin.can_change_privacy_from_feed,es,metafox/activity,"Can change privacy from feed",
activity::admin.can_comment,es,metafox/activity,"Can comment",
activity::admin.can_create_feed,es,metafox/activity,"Can create feed item",
activity::admin.can_edit,es,metafox/activity,"Can edit",
activity::admin.can_like,es,metafox/activity,"Can like",
activity::admin.can_put_stream,es,metafox/activity,"Can put stream",
activity::admin.can_share,es,metafox/activity,"Can share",
activity::admin.check_new_in_minutes_description,es,metafox/activity,"The feed will be automatically refreshed at the specified time interval. If the input value is 0, your feed will not be automatically refreshed.",
activity::admin.check_new_in_minutes_label,es,metafox/activity,"How long will the feed be refreshed in minutes?",
activity::admin.enable_checkin_description,es,metafox/activity,"Enable Check-in feature. Note: The Check-in feature can be used when posting status or configuring page locations. The setting of Google API key need to be configured to use this feature.",
activity::admin.enable_checkin_label,es,metafox/activity,"Enable Check-In",
activity::admin.enable_hide_feed_description,es,metafox/activity,"If enabled, users will be able to hide feed on the homepage.",
activity::admin.enable_hide_feed_label,es,metafox/activity,"Enable Hide Feed",
activity::admin.enable_tag_friends_description,es,metafox/activity,"If enabled, users will be able to tag their friends when posting a status update.",
activity::admin.enable_tag_friends_label,es,metafox/activity,"Enable Tag Friends",
activity::admin.feed_limit_days_description,es,metafox/activity,"This setting controls how many days we should look back when displaying feeds. If you set this to 0 it will look for all the feeds. We advice to add a limit to keep your site fresh. Note that this setting does not apply when viewing a users profile as it will list all of their feeds.",
activity::admin.feed_limit_days_label,es,metafox/activity,"Feed Limit (Days)",
activity::admin.friends_only_description,es,metafox/activity,"Set to ON if you would like news feed to only be displayed to the user and their friends.",
activity::admin.friends_only_label,es,metafox/activity,"Friends Only",
activity::admin.is_active,es,metafox/activity,Active,
activity::admin.is_request,es,metafox/activity,Request,
activity::admin.load_feeds_limit,es,metafox/activity,"Load Feeds Limit",
activity::admin.load_feeds_limit_description,es,metafox/activity,"Limit the number of feeds that will be displayed in the main news feed during each page load.",
activity::admin.most_recent,es,metafox/activity,"Most Recent",
activity::admin.pin_homepage_description,es,metafox/activity,"Set to :number to allow unlimited pinning of posts.",
activity::admin.pin_homepage_label,es,metafox/activity,"The maximum number of posts that can be pinned on the homepage",
activity::admin.pin_profile_description,es,metafox/activity,"Set to :number to allow unlimited pinning of posts.",
activity::admin.pin_profile_label,es,metafox/activity,"The maximum number of posts that can be pinned on the Profile User/ Page/ Group",
activity::admin.prevent_from_edit_feed_item,es,metafox/activity,"Prevent from editing feed item",
activity::admin.schedule_on_feed_description,es,metafox/activity,"If enabled, users will be able to schedule when sharing items on feed.",
activity::admin.schedule_on_feed_label,es,metafox/activity,"Enable Schedule on Feed",
activity::admin.sort_default_description,es,metafox/activity,"Select the default criterion to sort in New Feed. This setting will be applied for new registered users on your site only.",
activity::admin.sort_default_label,es,metafox/activity,"Default criterion to sort on New Feed",
activity::admin.spam_check_status_updates_description,es,metafox/activity,"Define how many status updates should we check to see if the new status update the user is adding is similar and if one is we will guide them to add another status update.",
activity::admin.spam_check_status_updates_label,es,metafox/activity,"Spam Check Status Updates",
activity::admin.sponsored_feed_cache_time_description,es,metafox/activity,"Define how long we should keep the cache for the Sponsored Feed by minutes. 0 means we do not cache this data.",
activity::admin.sponsored_feed_cache_time_label,es,metafox/activity,"Sponsored Feed Cache Time",
activity::admin.top_stories,es,metafox/activity,"Top Stories",
activity::admin.top_stories_both,es,metafox/activity,Both,
activity::admin.top_stories_comment,es,metafox/activity,Comment,
activity::admin.top_stories_like,es,metafox/activity,Like,
activity::admin.top_stories_update_description,es,metafox/activity,"Select the criterion to sort top stories in feed.",
activity::admin.top_stories_update_label,es,metafox/activity,"Criterion to sort top stories in feed",
activity::admin.type,es,metafox/activity,Type,
