key,locale,package,origin_text,text
activity::activitypoint.setting_post_on_other_action,fr,metafox/activity,"Post a new status on someone's profile.",
activity::activitypoint.setting_post_on_other_description,fr,metafox/activity,"Post a new status on someone's profile.",
activity::activitypoint.setting_post_on_wall_action,fr,metafox/activity,"Post a new status on your profile",
activity::activitypoint.setting_post_on_wall_description,fr,metafox/activity,"Post a new status on your profile",
activity::admin.add_comment_as_feed_description,fr,metafox/activity,"If this setting is enabled it will add comments that are added to items such as videos, blogs, photos etc... as its own feed entry.",
activity::admin.add_comment_as_feed_label,fr,metafox/activity,"Add Comments as Feeds",
activity::admin.allow_choosing_sort_on_feed_description,fr,metafox/activity,,
activity::admin.allow_choosing_sort_on_feed_label,fr,metafox/activity,"Allow Choosing Sort On Feed",
activity::admin.can_change_privacy_from_feed,fr,metafox/activity,"Can change privacy from feed",
activity::admin.can_comment,fr,metafox/activity,"Can comment",
activity::admin.can_create_feed,fr,metafox/activity,"Can create feed item",
activity::admin.can_edit,fr,metafox/activity,"Can edit",
activity::admin.can_like,fr,metafox/activity,"Can like",
activity::admin.can_put_stream,fr,metafox/activity,"Can put stream",
activity::admin.can_share,fr,metafox/activity,"Can share",
activity::admin.check_new_in_minutes_description,fr,metafox/activity,"The feed will be automatically refreshed at the specified time interval. If the input value is 0, your feed will not be automatically refreshed.",
activity::admin.check_new_in_minutes_label,fr,metafox/activity,"How long will the feed be refreshed in minutes?",
activity::admin.enable_checkin_description,fr,metafox/activity,"Enable Check-in feature. Note: The Check-in feature can be used when posting status or configuring page locations. The setting of Google API key need to be configured to use this feature.",
activity::admin.enable_checkin_label,fr,metafox/activity,"Enable Check-In",
activity::admin.enable_hide_feed_description,fr,metafox/activity,"If enabled, users will be able to hide feed on the homepage.",
activity::admin.enable_hide_feed_label,fr,metafox/activity,"Enable Hide Feed",
activity::admin.enable_tag_friends_description,fr,metafox/activity,"If enabled, users will be able to tag their friends when posting a status update.",
activity::admin.enable_tag_friends_label,fr,metafox/activity,"Enable Tag Friends",
activity::admin.feed_limit_days_description,fr,metafox/activity,"This setting controls how many days we should look back when displaying feeds. If you set this to 0 it will look for all the feeds. We advice to add a limit to keep your site fresh. Note that this setting does not apply when viewing a users profile as it will list all of their feeds.",
activity::admin.feed_limit_days_label,fr,metafox/activity,"Feed Limit (Days)",
activity::admin.friends_only_description,fr,metafox/activity,"Set to ON if you would like news feed to only be displayed to the user and their friends.",
activity::admin.friends_only_label,fr,metafox/activity,"Friends Only",
activity::admin.is_active,fr,metafox/activity,Active,
activity::admin.is_request,fr,metafox/activity,Request,
activity::admin.load_feeds_limit,fr,metafox/activity,"Load Feeds Limit",
activity::admin.load_feeds_limit_description,fr,metafox/activity,"Limit the number of feeds that will be displayed in the main news feed during each page load.",
activity::admin.most_recent,fr,metafox/activity,"Most Recent",
activity::admin.pin_homepage_description,fr,metafox/activity,"Set to :number to allow unlimited pinning of posts.",
activity::admin.pin_homepage_label,fr,metafox/activity,"The maximum number of posts that can be pinned on the homepage",
activity::admin.pin_profile_description,fr,metafox/activity,"Set to :number to allow unlimited pinning of posts.",
activity::admin.pin_profile_label,fr,metafox/activity,"The maximum number of posts that can be pinned on the Profile User/ Page/ Group",
activity::admin.prevent_from_edit_feed_item,fr,metafox/activity,"Prevent from editing feed item",
activity::admin.schedule_on_feed_description,fr,metafox/activity,"If enabled, users will be able to schedule when sharing items on feed.",
activity::admin.schedule_on_feed_label,fr,metafox/activity,"Enable Schedule on Feed",
activity::admin.sort_default_description,fr,metafox/activity,"Select the default criterion to sort in New Feed. This setting will be applied for new registered users on your site only.",
activity::admin.sort_default_label,fr,metafox/activity,"Default criterion to sort on New Feed",
